id,image,title_ko,title_en,year,plot,runtime,genre,difficulty,word_avg_level,tree_depth,pron_acc,real_word,clause_ratio,overlap_ratio,phrase_ratio,pp_ratio,rare_word_ratio,slang_ratio,syllable_word,avg_speed,lev_distance,,,wavve_url,watcha_url,netflix_url,tiving_url,coupang_url,disney_url
1,movies/images/1.png,다크나이트,The Dark Knight,2008,"범죄와 부정부패를 제거하여 고담시를 지키려는 배트맨. 그는 짐 고든 형사와 패기 넘치는 고담시 지방 검사 하비 덴트와 함께 도시를 범죄 조직으로부터 영원히 구원하고자 한다. 세 명의 의기투합으로 위기에 처한 악당들이 모인 자리에 보라색 양복을 입고 얼굴에 짙게 화장을 한 괴이한 존재가 나타나 배트맨을 죽이자는 사상 초유의 제안을 한다. 그는 바로 어떠한 룰도, 목적도 없는 사상 최악의 악당 미치광이 살인광대 조커. 배트맨을 죽이고 고담시를 끝장내버리기 위한 조커의 광기 어린 행각에 도시는 혼란에 빠지는데...",152,"액션, 범죄, 드라마, 스릴러",3,0.44,0.11,0.02,0.28,0.39,0,0.18,0.33,0.67,0.62,0.42,0.77,0.03,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011175,,,,,
2,movies/images/2.png,인셉션,Inception,2010,"타인의 꿈에 들어가 생각을 훔치는 특수 보안요원 코브. 그를 이용해 라이벌 기업의 정보를 빼내고자 하는 사이토는 코브에게 생각을 훔치는 것이 아닌, 생각을 심는 ‘인셉션’ 작전을 제안한다. 성공 조건으로 국제적인 수배자가 되어있는 코브의 신분을 바꿔주겠다는 거부할 수 없는 제안을 하고, 사랑하는 아이들에게 돌아가기 위해 그 제안을 받아들인다. 최강의 팀을 구성, 표적인 피셔에게 접근해서 ‘인셉션’ 작전을 실행하지만 예기치 못한 사건들과 마주하게 되는데… 꿈 VS 현실! 시간, 규칙, 타이밍 모든 것이 완벽해야만 하는, 단 한 번도 성공한 적 없는 ‘인셉션’ 작전이 시작된다!",148,"SF, 액션, 스릴러, 어드벤처",3,0.32,0.11,0.1,0.12,0.4,0.03,0.18,0.33,1,0.67,0.5,0.57,0.09,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261,https://watcha.com/contents/mW4L2XW,,,,
3,movies/images/3.png,인터스텔라,Interstellar,2014,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...",169,"SF, 어드벤처, 드라마",3,0.56,0.56,0.28,0.26,0.26,0,0.45,0.33,1,0.6,0.49,0.58,0.04,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011422,,,,,
4,movies/images/4.png,위플래쉬,Whiplash,2014,"최고의 드러머가 되기 위해서라면 무엇이든 할 각오가 되어있는 음악대학 신입생 앤드류는 아무도 없는 지하실에서 혼자 드럼을 연습하던 중 우연한 기회로 누구든지 성공으로 이끄는 최고의 실력자이지만, 또한 동시에 최악의 폭군인 플렛처 교수에게 발탁되어 그의 밴드에 들어가게 된다. 설레는 마음으로 참가한 첫 연습에서, 그는 플렛처 교수의 진짜 얼굴을 마주치게 된다. 폭언과 학대 속에 좌절과 성취를 동시에 안겨주는 플렛처의 지독한 교육방식은 천재가 되길 갈망하는 앤드류의 집착을 끌어내며 그를 점점 광기로 몰아넣는데...",106,"심리 드라마, 음악, 성장",3,0.46,0.11,0.53,0.49,0.37,0.77,0.45,0,1,0.72,0.2,0.95,0.12,,,https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011746,https://watcha.com/contents/mdEw9nb,https://www.netflix.com/title/70299275,https://www.tving.com/contents/M000376406,,
5,movies/images/5.png,디파티드,The Departed,2006,"프랭크 코스텔로가 이끄는 남부 보스턴의 최대 범죄 조직망, 아일랜드 마피아를 일망타진하기 위해 매사추세츠 주 경찰청은 신참 경찰 빌리 코스티건을 조직에 침투시킨다. 한편, 또다른 신참 경찰 콜린 설리반은 경찰청 내에서 승승장구하여 코스텔로를 제거하기 위한 특별 수사반에 배치된다. 그러나 콜린은 경찰청에 투입된 코스텔로의 첩자였다. 그들은 곧 그들 사이에 첩자가 있다는 사실을 알아차리게 되는데…",151,"범죄, 스릴러, 드라마, 느와르",2,0.27,0.11,0.1,0.1,0.32,0,0.27,0.21,1,0.99,0.4,0.78,0,,,,https://watcha.com/contents/m2djMzO,,,,
6,movies/images/6.png,스파이더맨: 어크로스 더 유니버스,Spider-Man: Across the Spider-Verse,2023,"여러 성장통을 겪으며 새로운 스파이더맨이 된 마일스 모랄레스. 그 앞에 다른 평행세계의 스파이더우먼 그웬이 다시 나타난다. 모든 차원의 멀티버스 속 스파이더맨들을 만나게 되지만, 질서에 대한 신념이 부딪히며 예상치 못한 균열이 생기는데… 상상 그 이상을 넘어서는 멀티버스의 세계가 열린다!",140,"애니메이션, 액션, SF, 어드벤처",3,0.49,0.11,0.97,0.11,0.15,0.46,0.18,0.33,1,0.78,0.22,0.98,0.27,,,https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011784,,,,,
7,movies/images/7.png,프레스티지,The Prestige,2006,"로버트 앤지어는 상류층 집안에서 자란 쇼맨십이 강한 마술사다. 반면 고아로 사람들과 잘 어울리지 못하는 알프레드 보든은 아이디어를 남들에게 보여 줄 배짱은 없지만 누구보다도 뛰어난 재능을 가진 천재이다. 두 사람은 서로를 아끼는 친구이자 선의의 경쟁자였지만, 그들이 최고라 자부했던 수중 마술이 실패로 돌아가면서 두 사람은 철천지 원수로 돌변한다. 서로 상대방 마술의 비밀을 캐내려 경쟁을 벌이는 가운데, 로버트는 알프레드의 비밀을 알아내기 위해 자신의 조수이자 사랑하는 여인 올리비아를 알프레드에게 접근하게 만든다.",130,"미스터리, 스릴러, 드라마, SF",3,0.49,0.33,1,0.2,0.33,0.07,0.36,0.46,1,0.52,0.51,0.71,0.12,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011351,https://watcha.com/contents/mWJykq5,,,,
8,movies/images/8.png,장고:분노의 추적자,Django unchained,2012,"흑인 노예 장고는 착한 사마리아인 같은 독일인 현금사냥꾼 닥터 킹의 도움을 받아 멋진 말을 타고 미국 평원을 달리며 헤어진 아내 브룸힐다를 찾아다니는 총잡이 낭만주의자로 변신한다. 그는 브룸힐다가 미시시피에서 가장 악독한 농장 캔디랜드의 노예로 일하고 있다는 소식을 듣고 농장주 캔디를 찾아간다. 아내를 구해야 하는 분노의 로맨티스트 장고, 그를 돕는 정의의 바운티 헌터 닥터 킹, 그리고 그들의 표적이 된 욕망의 마스터 캔디. 복수의 사슬이 풀리면, 세 남자의 피도 눈물도 없는 대결이 시작된다.",165,"서부, 액션, 드라마",3,0.63,0.11,0.09,0.24,0.43,0,0.27,0.29,1,0.45,0.41,0.5,0.21,,,,https://watcha.com/contents/mdKy7RW,,,https://www.coupangplay.com/titles/ed6b87a1-fcf3-49d1-9694-0c1319728be1,
9,movies/images/9.png,라이언,Lion,2016,"5살, 형을 기다리다 기차에서 깜빡 잠들어버린 다섯 살 사루는 집에서 수천 킬로미터 떨어진 곳에서 눈을 뜨게 된다. 낯선 기차역에 홀로 남겨진 사루는 보고 싶은 엄마와 형을 애타게 불러보지만 기억나는 것은 형 구뚜의 이름과 정확하지 않은 동네 이름뿐. 수 개월 동안 이곳 저곳을 떠돌며 힘겹게 살아가던 사루는 결국 인도를 떠나 호주에 살고 있는 새로운 가족 곁으로 가게 된다. 성인이 된 사루는 대학원에서 우연히 인도 친구들을 만나게 되면서 잊고 있었던 어린 시절에 대한 기억이 떠올라 혼란에 빠진다. 자신을 애타게 부르고 있을 엄마와 형에 대한 생각에 괴로워하던 사루는 구글어스로 전세계 어디든 찾을 수 있다는 친구의 말에 가느다란 희망을 붙잡고 25년 만에 집으로 가는 길을 다시 찾기 시작하는데…",118,"전기 영화(실화), 드라마",3,0.41,0.11,0.41,0.55,0.23,0.28,0,0.25,1,0.4,0.39,0.33,0.05,,,https://www.wavve.com/player/movie?movieid=MV_C901_SG0000095171,https://watcha.com/contents/mO0g9ba,,https://www.tving.com/contents/M000147033,,
10,movies/images/10.png,듄: 파트2,Dune: Part Two,2024,황제의 모략으로 멸문한 가문의 유일한 후계자 폴. 어머니 레이디 제시카와 간신히 목숨만 부지한 채 사막으로 도망친다. 그곳에서 만난 반란군들과 숨어 지내다 그들과 함께 황제의 모든 것을 파괴할 전투를 준비한다. 한편 반란군들의 기세가 높아질수록 불안해진 황제와 귀족 가문은 잔혹한 암살자 페이드 로타를 보내 반란군을 몰살하려 하는데…,165,"SF, 어드벤처, 액션, 드라마",3,0.61,0.22,0.26,0.53,0.09,0,0,0.42,1,0.31,0.66,0.76,0.02,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011736,,,,,
11,movies/images/11.png,어벤져스: 인피니티 워,Avengers: Infinity War,2018,"타노스는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지가 소유한 타임 스톤, 비전의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨과 스파이더맨은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카, 완다, 블랙 위도우, 블랙 팬서 등이 비전을 지키기 위해 뭉친다.",149,"슈퍼히어로, 액션, SF, 판타지",3,0.66,0.11,0.3,0.42,0.16,0.1,0.27,0.25,1,0.48,0.48,0.6,0.24,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-9a136e06-852a-41bf-b71d-fa061cb43225?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRQW6j2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=0d010043-61c1-48ba-9800-0343692c3faf
12,movies/images/12.png,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,2018,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?",117,"애니메이션, 슈퍼히어로, 액션, SF",3,0.66,0.22,0.53,0.26,0.16,0.06,0.09,0.25,0.67,0.8,0.24,0.49,0.31,,,https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011560,https://watcha.com/contents/md76rkk,,,,
13,movies/images/13.png,송 오브 더 씨,Song of the Sea,2014,"전설 속 요정들과 함께 부르는 신비로운 노래! 마법에 걸린 동생을 구하는 오빠 벤과 강아지 쿠의 가슴 두근거리는 모험이 시작된다! 등대 앞 바다에서 살고 있는 소년 벤에게 아름다운 자장가를 불러주던 엄마가 여동생 시얼샤를 낳은 후 갑자기 사라진다. 몇 년이 지나도 말을 하지 못하는 시얼샤는 엄마가 남긴 나팔고둥을 우연히 불게 되고, 어딘가에 홀린 듯 바다로가 바다표범과 신비로운 모험을 하게 된다. 딸까지 잃고 싶지 않은 아빠는 남매를 도시의 할머니에게 보내지만, 벤과 시얼샤는 다시 고향 집으로 가기 위해 길을 나선다. 그러던 중 벤과 시얼샤, 강아지 쿠는 부엉이 마녀 마카의 함정에 빠지게 되고 위험에 처하는데... 과연 벤은 마법에 걸린 동생을 구하고 아빠 품으로 돌아갈 수 있을까?",93,"애니메이션, 판타지, 가족, 어드벤처",2,0.24,0.44,0.41,0.42,0.19,0.47,0.82,0.38,1,0.6,0.08,0.36,0.26,,,,,,,,
14,movies/images/14.png,코코,Coco,2017,"미구엘은 멕시코의 자랑인 에르네스토 델라 크루즈 같은 뮤지션이 되길 꿈꾸지만 미구엘 집안 사람들에게 음악은 금기다. 먼 옛날 조상 중에 음악 때문에 가족을 버린 인물이 있었기 때문. 미구엘은 죽은 자의 날이 되자 실력으로 인정받겠다는 결심을 하고 경연 무대에 오르려 하는데, 우연히 에르네스토의 기타에 손을 댔다가 죽은 자들의 세상에 들어서게 된다. 이승과 저승을 이어주는 마리골드 꽃길을 건너 죽은 자들의 세상에 도착한 미구엘은 거짓말과 위변조가 장기인 헥터를 만난다. 그리고 꿈에 그리던 우상 에르네스토를 만나러 가는 여정에서 가족의 비밀을 알게 된다.",105,"애니메이션, 판타지, 코미디, 가족",2,0.12,0.89,0.5,0.11,0.26,0.01,0.09,0.21,1,0.46,0.36,0.34,1,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-ce1ccdca-f468-4960-b67c-026b01ba42ab?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRVWCj2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=07010018-00ff-41a9-8700-1b98692c40a8
15,movies/images/15.png,다크 나이트 라이즈,The Dark Knight Rises,2012,"배트맨이 조커와의 대결을 끝으로 세상에서 모습을 감춘 8년 후, 하비 덴트의 죽음에 대한 책임을 떠안은 배트맨은 모든 것을 희생하며 떠난다. 범죄방지 덴트법으로 인해 한동안 평화가 지속되던 고담시의 파멸을 예고하며 나타난 마스크를 쓴 잔인한 악당, 최강의 적 베인이 등장한다. 베인은 배트맨이 스스로 택한 유배 생활에 종지부를 찍게 하지만, 다시 돌아온 배트맨에게 베인은 만만한 상대가 아니다. 자신을 거부한 사람들의 고통을 지켜볼 것인가, 정의의 수호자로 나설 것인가. 배트맨은 승패를 알 수 없는 마지막 전투를 시작하려 하는데...",164,"액션, 어드벤처, 드라마, 스릴러",3,0.61,0.67,0.34,0.36,0.32,0.06,0.45,0.54,0.67,0.62,0.48,0.59,0.04,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176,,,,,
